sdo5,female,age,educ,race,favor_trump,favor_blm,favor_metoo,american_customs,race_ident,pid3,ideo5,fear_of_demographic_change,confederate_flag,presvote16
2.25,0,87,2,1,1,3,4,3,1,1,3,0.5833,Heritage,Clinton
3,0,66,3,1,1,2,2,2,3,2,3,0.3333,Heritage,Clinton
3,0,53,4,1,4,1,2,4,1,3,5,0.75,Heritage,Trump
1.75,1,69,4,2,1,4,3,4,4,2,3,0.0833,Slavery,Clinton
3.25,1,76,3,1,3,2,2,4,2,3,4,0.5,Heritage,Trump
2.25,0,73,3,1,2,NA,NA,3,3,1,1,0.5,NA,Other
1.25,1,66,4,1,1,4,4,1,1,1,1,0.1667,Slavery,Clinton
1,0,64,3,1,1,4,4,1,3,1,2,0.1667,Slavery,Clinton
1,0,63,5,2,1,3,3,4,4,1,4,0.25,Slavery,Trump
1,1,25,5,2,1,3,3,1,3,2,3,0.0833,Slavery,Stein
3.75,0,71,3,1,4,1,1,5,4,3,5,0.8333,Heritage,Trump
2,1,60,2,1,3,3,3,4,2,2,NA,0.5833,Heritage,Clinton
2.5,0,73,3,1,3,1,2,4,2,3,4,0.3333,Heritage,Trump
1.75,1,71,3,1,4,1,2,2,3,3,5,0.5,Heritage,Trump
2.25,0,69,2,3,1,3,4,4,1,1,3,0.1667,NA,Clinton
1,0,64,3,1,1,3,3,1,3,2,3,0,NA,Clinton
3.25,0,61,4,1,2,1,2,2,2,NA,4,0.4167,NA,Johnson
3,0,64,2,1,4,1,2,5,1,3,3,0.75,NA,Trump
3,1,36,2,1,3,1,1,4,3,3,4,0.5,Heritage,Did not vote
1.75,1,69,3,1,1,1,2,4,2,NA,4,0.75,Heritage,Trump
3.5,0,71,4,6,3,1,1,4,2,3,4,0.5,Heritage,Trump
2,1,64,3,1,1,3,3,3,2,1,1,0.5833,Slavery,Clinton
4,0,83,2,1,4,1,1,3,3,2,5,0.6667,Heritage,Trump
1,1,46,3,1,1,4,3,1,2,1,1,0.0833,Slavery,Clinton
2.5,1,64,4,5,4,1,1,5,3,3,5,0.5833,NA,Trump
3,0,78,4,1,4,1,1,5,2,3,4,0.9167,Heritage,Trump
3,0,66,2,1,4,1,NA,2,1,3,4,0.4167,Heritage,Trump
2.25,1,78,4,1,1,4,3,1,3,2,3,0.4167,Slavery,Clinton
4,1,55,3,1,4,1,1,5,1,NA,5,0.25,Heritage,Trump
2,1,68,4,1,1,NA,3,4,2,1,2,0.25,Slavery,Clinton
2.5,1,61,3,1,4,1,1,4,1,1,4,0.6667,Heritage,Trump
4,0,71,2,1,4,1,1,5,4,2,4,1,Heritage,Trump
1.75,1,76,4,1,3,3,2,4,3,3,4,0.5833,Heritage,McMullin
1,1,69,3,2,1,3,3,1,3,NA,1,0,Slavery,Stein
2.5,1,73,4,1,4,1,1,3,1,2,4,0.5,Heritage,Trump
3,0,63,4,1,4,2,1,4,3,NA,5,0.5833,Heritage,Trump
3,1,64,4,7,3,1,1,1,1,2,3,0,NA,Trump
3,0,69,2,1,4,1,2,5,3,3,5,0.75,Heritage,Trump
1.5,1,59,4,1,1,NA,4,1,3,1,2,0.4167,NA,Clinton
3.25,1,30,3,1,3,3,2,4,3,3,4,0.5,Heritage,Trump
2.5,0,71,4,1,4,1,2,5,1,3,5,0.8333,Heritage,Trump
1,1,34,3,1,1,4,4,1,1,1,1,0,Slavery,Clinton
2.25,1,58,3,1,4,1,3,5,3,3,4,0.6667,Heritage,Trump
1.5,0,58,3,4,2,2,NA,4,2,1,2,0.4167,Slavery,Clinton
2.25,0,64,3,1,4,2,1,5,3,3,4,0.5833,Heritage,Trump
1.5,1,57,3,1,1,4,3,2,2,NA,2,0.4167,Slavery,Clinton
3,1,60,2,1,4,1,1,5,3,3,3,0.8333,Heritage,Trump
2.5,1,65,3,1,4,2,NA,5,1,3,4,0.5833,Heritage,Trump
4,0,72,3,1,4,1,1,5,4,3,4,1,Heritage,Trump
2,0,74,3,1,3,1,1,3,3,NA,5,0.8333,Heritage,Trump
3,1,62,2,1,1,2,2,4,2,1,2,0.6667,Heritage,Clinton
1.25,1,66,3,1,1,3,3,2,3,1,2,0.25,Slavery,Clinton
1,1,54,4,1,1,4,4,3,1,2,3,0.75,Slavery,Clinton
3,1,23,3,1,NA,NA,NA,3,2,3,4,0.5,NA,Trump
1.75,1,62,4,1,1,NA,NA,3,2,NA,3,0.5833,Heritage,Clinton
2.75,1,62,3,1,3,3,3,2,1,3,4,0.25,Heritage,Trump
1,1,59,4,1,1,4,4,1,2,2,1,0.0833,Slavery,Clinton
3.25,0,51,3,1,3,1,3,3,2,2,3,0.5,Heritage,Did not vote
2,1,74,3,1,4,1,2,4,1,2,3,0.6667,Heritage,Did not vote
4.75,0,74,3,1,4,1,1,5,3,3,5,1,Heritage,Trump
1,0,44,3,6,1,4,4,1,4,1,1,0,Slavery,Clinton
1,0,43,4,5,3,3,1,5,4,2,NA,0.75,Slavery,Did not vote
1,0,63,3,1,1,4,4,1,1,1,1,0.0833,Slavery,Clinton
1.5,0,62,1,1,2,1,3,5,4,3,4,0.9167,Heritage,Trump
3,0,76,4,1,3,1,1,5,1,3,5,0.6667,Heritage,Trump
3.25,0,59,3,1,4,1,NA,4,2,2,3,0.75,Heritage,Trump
1,0,74,3,1,4,1,4,5,1,2,3,0.4167,Heritage,Trump
1.5,1,50,2,1,1,3,4,1,3,2,3,0,Slavery,Clinton
1.5,1,82,2,1,1,3,3,1,3,1,2,0.3333,Slavery,Clinton
1,1,58,3,1,1,4,4,1,2,1,2,0.1667,Slavery,Clinton
2.25,0,69,3,1,4,2,2,4,3,2,3,0.5,Heritage,Trump
1.25,1,65,3,2,3,4,4,1,4,1,2,0.3333,Slavery,Did not vote
2.5,0,64,4,1,1,NA,3,4,3,1,3,0.6667,Slavery,Clinton
1,1,66,3,1,1,4,4,1,1,1,2,0,Slavery,Clinton
3.75,0,69,4,1,4,1,1,5,4,3,5,0.75,Heritage,Trump
3.75,1,67,3,1,4,2,1,5,2,3,5,0.8333,Heritage,Trump
2,0,75,3,1,4,1,1,5,3,3,4,0.75,Heritage,Trump
3.25,1,73,2,1,3,1,3,5,4,NA,4,0.9167,Heritage,Trump
2,1,67,3,3,1,3,3,3,4,1,2,0.5833,Heritage,Clinton
1.75,1,73,3,1,1,3,3,1,1,1,1,0,Slavery,Clinton
2.25,1,49,4,1,4,1,2,5,3,2,4,0.6667,Heritage,Trump
1,1,66,4,1,1,4,4,1,3,1,1,0.25,Slavery,Clinton
2.75,0,70,4,1,4,1,1,4,3,NA,4,0.5833,Heritage,Trump
4,1,70,3,1,4,1,1,5,2,3,4,0.6667,Heritage,Trump
2.75,1,55,3,1,4,1,1,4,3,3,4,0.25,Heritage,Trump
1.5,1,53,3,1,1,NA,NA,1,2,1,2,0,Heritage,Clinton
1,1,39,3,1,1,4,4,1,2,1,1,0.3333,Slavery,Clinton
3.25,1,62,3,2,1,3,3,2,4,1,3,0.5,Heritage,Clinton
1,1,56,3,1,1,4,4,2,1,1,3,0.5833,Slavery,Clinton
3,0,72,4,1,4,1,1,5,3,3,5,0.8333,Heritage,Trump
3,0,63,6,3,4,1,2,2,2,1,3,0.5,Heritage,Trump
2,0,66,3,2,1,4,3,1,4,2,1,0.1667,Slavery,Stein
2.5,0,72,4,1,4,2,1,2,2,3,4,0.75,Heritage,Trump
2.5,1,54,4,1,1,NA,3,NA,4,1,2,0.1667,Heritage,Clinton
1.75,0,81,3,1,1,3,3,3,4,2,3,0.4167,Slavery,Clinton
2.75,0,56,4,1,3,1,2,4,3,3,3,0.5833,Heritage,Trump
1,1,46,3,1,1,NA,3,1,3,1,2,0.25,Slavery,Clinton
2,0,37,4,4,3,1,1,5,4,2,3,0.5,Heritage,Trump
3,0,73,3,1,1,3,3,2,4,2,3,0.4167,Slavery,Stein
2.25,0,82,2,1,4,1,1,5,2,3,5,0.75,Heritage,Trump
2,0,67,3,1,1,3,4,1,2,1,3,0.0833,Slavery,Clinton
3,1,59,3,1,4,1,2,4,2,3,4,0.9167,Heritage,Trump
3,1,24,5,3,1,3,3,3,3,1,2,0.4167,Slavery,Clinton
1,0,70,2,1,1,4,4,1,2,1,1,0,Slavery,Clinton
5,0,45,4,1,4,1,1,5,4,3,5,1,Heritage,Trump
4,0,65,3,7,4,1,1,5,3,NA,4,0.9167,Heritage,Trump
1.5,1,69,4,1,4,1,1,5,3,3,5,0.5833,Heritage,Trump
3.5,0,54,2,1,3,1,NA,4,2,3,4,0.6667,Heritage,Trump
3,1,71,2,1,4,1,1,5,4,2,4,0.8333,Slavery,Trump
3,0,54,4,1,3,1,1,3,3,3,5,0.5,Heritage,Trump
2.75,0,78,2,1,4,1,1,5,2,3,5,0.75,Heritage,Trump
1,0,73,3,1,1,4,4,2,3,2,1,0.3333,Slavery,Clinton
1.5,1,59,3,2,1,4,2,2,4,1,1,0.25,Slavery,Clinton
2,0,58,3,1,4,1,2,5,1,3,5,0.6667,Heritage,Trump
2.5,1,68,4,1,3,NA,NA,2,3,3,5,0.4167,Heritage,Trump
1,1,37,4,1,1,4,4,1,3,1,2,0.5,Slavery,Clinton
4,0,67,3,7,4,1,1,5,3,NA,5,0.3333,Heritage,Trump
4,1,62,4,1,4,1,1,5,4,3,5,1,Heritage,Trump
2.75,0,64,4,1,3,2,2,4,2,3,5,0.5,Heritage,Trump
2.25,1,65,3,6,1,4,NA,5,NA,NA,5,0.1667,Slavery,Trump
2.25,1,40,4,6,2,1,NA,4,4,NA,3,0.4167,NA,Clinton
1.5,1,59,3,2,1,4,4,3,2,NA,NA,0.0833,Slavery,Other
2.25,1,63,3,1,4,NA,NA,4,3,3,3,0.6667,NA,Trump
2.5,1,63,3,1,3,1,1,4,2,2,4,0.4167,Heritage,Trump
1,0,62,3,1,4,1,1,5,2,2,4,0.4167,Heritage,Trump
1.5,1,35,4,6,1,4,4,1,4,1,2,0.1667,Slavery,Clinton
2.25,1,68,2,1,1,2,2,2,3,1,3,0.5,Heritage,Clinton
2.25,0,53,3,1,4,1,2,4,3,2,3,0.75,Heritage,Trump
1.75,0,75,4,1,1,4,4,4,4,2,1,0.6667,Slavery,Clinton
4,0,76,3,1,4,1,1,5,1,2,4,0.8333,Heritage,Trump
2,1,54,3,1,1,3,3,1,2,1,2,0.1667,Slavery,Clinton
5,0,49,4,1,4,1,1,5,4,2,3,1,Heritage,Trump
1.25,1,57,4,1,3,2,3,4,3,3,5,0.5833,Heritage,Trump
3,1,64,2,1,1,1,NA,NA,4,1,3,0.6667,Heritage,Clinton
3,1,54,3,1,3,1,2,5,2,3,5,0.75,Heritage,Trump
1.25,1,45,4,1,1,3,3,1,2,2,3,0.1667,Slavery,Stein
1.75,0,58,3,1,4,1,1,5,3,3,4,0.5833,Heritage,Trump
2.75,0,64,4,1,4,3,1,5,2,3,4,0.75,Heritage,Trump
1,1,55,4,1,1,3,4,2,2,2,3,0.5,Slavery,Clinton
3,0,62,3,1,4,1,1,5,1,NA,4,0.5833,Heritage,Trump
1,0,36,4,2,1,4,4,1,4,1,2,0,Slavery,Clinton
3.5,1,69,3,1,4,1,1,3,3,2,4,0.6667,Heritage,Trump
2.5,0,63,4,1,1,3,2,2,4,1,4,0.75,Slavery,Clinton
2,0,65,3,2,1,4,4,1,4,1,2,0.3333,Slavery,Did not vote
1,1,43,3,1,1,3,NA,3,2,1,2,0.5,Slavery,Clinton
2,1,66,4,1,4,1,1,5,4,NA,5,0.6667,Heritage,Trump
3,1,67,2,1,4,3,3,5,3,3,5,0.6667,Heritage,Trump
2.5,0,86,2,1,3,2,2,4,4,3,5,0.8333,Heritage,Trump
1,1,58,4,1,4,1,1,5,1,2,4,0.75,Heritage,Trump
2,1,70,2,1,1,1,3,2,4,3,3,0.5,NA,Trump
1,0,68,2,1,1,3,3,1,2,2,3,0,Slavery,Clinton
1.75,0,76,1,1,4,2,2,4,2,3,5,0.5833,Slavery,Trump
1,1,67,3,1,1,4,4,1,3,1,1,0.25,Slavery,Clinton
3.25,1,48,4,1,3,1,1,5,2,3,4,0.8333,Heritage,Trump
2.75,0,75,4,1,4,1,1,5,1,3,5,0.5,Heritage,Trump
3.25,1,74,4,1,4,1,3,3,2,3,5,0.6667,Heritage,Trump
1.75,1,73,3,1,1,3,4,1,2,2,2,0,Slavery,Clinton
1.75,1,41,3,1,1,3,3,1,1,1,2,0,Slavery,Clinton
1.25,0,53,3,2,1,3,3,1,4,2,3,0,Slavery,Clinton
3.5,0,57,3,1,4,1,2,5,2,3,5,0.5833,Heritage,Trump
1,0,67,3,1,1,4,2,2,2,2,2,0.5,Slavery,Clinton
4,0,61,4,1,4,1,1,5,2,NA,5,0.6667,Heritage,Trump
3,0,76,4,1,4,1,2,5,4,2,3,0.75,Heritage,Trump
2.75,0,72,2,1,4,1,1,5,1,2,4,0.6667,Heritage,Trump
3,0,67,4,1,2,2,1,5,4,1,2,1,Slavery,Trump
3.5,0,67,3,1,4,1,1,5,2,2,5,0.8333,Heritage,Trump
2.75,0,81,4,1,4,1,NA,5,3,3,5,0.3333,Heritage,Trump
1,1,62,4,6,1,3,3,1,3,2,3,0.0833,Slavery,Clinton
1,0,73,3,1,1,4,4,1,2,1,2,0,Slavery,Clinton
3,1,63,3,1,4,1,1,3,1,2,4,0.5,NA,Trump
1.5,1,76,3,1,1,NA,3,NA,2,2,3,0.5833,NA,Clinton
1,1,70,4,1,1,4,4,1,2,1,1,0.4167,Slavery,Clinton
1,1,48,3,1,3,2,2,2,3,3,4,0.1667,Heritage,Did not vote
1,0,53,4,1,1,2,3,1,2,2,3,0.25,Heritage,Clinton
3.25,0,32,2,1,3,1,NA,5,3,3,5,0.5833,Heritage,Did not vote
1,1,58,3,1,NA,4,3,1,3,2,3,0,Slavery,Clinton
1.25,0,57,4,1,1,3,3,3,3,1,3,0.5833,Slavery,Clinton
3,0,79,4,7,3,3,1,2,3,2,4,0.4167,Heritage,Trump
2.25,0,70,3,1,1,3,3,1,3,2,2,0.5,Slavery,Clinton
2.75,1,70,3,1,4,1,1,5,1,3,3,0.5,Heritage,Trump
2,0,72,3,1,4,1,2,4,2,3,5,0.4167,Heritage,Trump
3.25,0,73,4,1,4,1,1,5,4,3,5,0.8333,Heritage,Trump
1,0,56,2,1,1,4,4,1,2,1,1,0,Slavery,Clinton
4.25,0,68,2,1,4,1,1,5,2,3,5,0.8333,Heritage,Trump
2.75,0,57,4,1,4,1,2,5,3,2,5,1,Heritage,Trump
2,1,61,3,2,1,4,4,3,4,1,3,0.4167,Slavery,Clinton
2.75,1,62,2,1,3,3,NA,3,2,2,3,0.6667,Heritage,Trump
2.25,1,69,2,1,1,3,3,5,4,1,4,1,Heritage,Clinton
1,1,44,4,1,1,3,4,1,1,1,2,0.0833,Slavery,Clinton
3.75,1,67,3,1,4,4,NA,5,4,2,4,0.9167,Heritage,Trump
3,1,65,3,1,1,3,3,5,3,1,3,0.5,NA,Clinton
2,0,79,3,1,1,2,2,4,3,1,3,0.4167,NA,Clinton
1.75,0,62,3,1,1,3,3,4,3,1,1,0.3333,Heritage,Clinton
2.25,0,60,3,1,1,3,3,3,4,1,1,0.3333,Heritage,Clinton
1.75,1,64,3,1,3,2,1,2,2,2,3,0.4167,Heritage,Trump
1.5,1,61,3,1,1,2,2,3,3,1,3,0.5,Slavery,Johnson
2,0,69,4,1,4,1,1,5,3,3,4,0.75,Heritage,Trump
2,0,53,3,2,1,3,3,1,4,1,2,0.1667,Slavery,Clinton
2,0,62,4,2,1,4,4,3,4,1,NA,0.3333,NA,Clinton
2.5,1,72,3,1,1,3,3,1,3,1,3,0.3333,Slavery,Clinton
4.25,0,61,4,1,4,1,1,5,4,2,5,0.9167,Heritage,Trump
1.25,1,68,3,1,4,2,1,NA,2,3,5,0.5,Heritage,Trump
1,1,72,3,1,1,3,3,2,3,1,2,0.3333,Heritage,Clinton
1,0,57,3,1,4,1,2,4,1,3,4,0.75,Heritage,Trump
1.75,1,64,3,1,4,1,1,5,1,3,5,0.8333,Heritage,Trump
3,1,76,2,1,4,4,NA,5,4,2,3,0.5,NA,Did not vote
1,0,74,3,4,3,3,2,5,3,2,3,0.1667,Heritage,Trump
2.75,0,59,4,7,3,1,NA,4,2,3,3,0.6667,Heritage,Trump
2,0,63,3,1,1,3,3,1,1,1,3,0.25,Slavery,Clinton
2.75,0,70,3,1,4,1,1,4,2,3,5,0.6667,Heritage,Trump
1,1,69,3,1,1,3,3,1,2,1,2,0.1667,Slavery,Clinton
3,0,81,3,1,4,1,1,4,2,3,4,0.75,Heritage,Trump
3,1,62,2,1,4,1,1,5,1,3,4,0.4167,Heritage,Trump
3.25,0,66,4,1,4,1,2,4,2,NA,4,0.6667,Heritage,Trump
1.5,0,72,3,1,2,2,2,2,3,3,3,0.4167,Heritage,Trump
3,0,76,3,1,1,4,3,1,2,2,3,0.0833,Slavery,Clinton
2.75,0,65,3,1,4,2,3,4,2,NA,4,0.75,Heritage,Johnson
3,0,77,2,1,4,1,1,5,3,3,5,0.6667,Heritage,Trump
1,0,71,4,1,1,4,4,1,3,1,1,0.3333,Slavery,Clinton
2.75,1,68,3,1,4,2,1,5,3,3,4,0.9167,Heritage,Trump
2,1,55,4,1,4,1,1,5,2,2,4,1,Heritage,Trump
1,0,59,3,1,1,NA,3,1,2,1,2,0.3333,NA,Clinton
1,0,68,4,1,1,3,3,1,2,1,2,0,Slavery,Clinton
2.25,0,66,3,1,2,3,3,3,3,NA,NA,0.75,NA,Johnson
2.25,1,47,4,1,4,NA,1,5,4,3,NA,0.6667,Heritage,Trump
1.25,1,89,3,1,4,3,1,5,4,2,5,0.6667,Heritage,Trump
1,0,55,3,1,1,3,4,1,3,1,1,0.25,Slavery,Clinton
1,1,72,3,1,1,4,4,1,2,1,2,0.0833,Slavery,Clinton
3,1,67,3,1,NA,4,4,1,1,2,3,0,Slavery,Stein
1.25,0,70,3,1,1,4,4,1,3,2,3,0.0833,Heritage,Clinton
2.5,0,69,2,1,4,2,2,4,4,3,4,0.6667,Heritage,Trump
2.5,1,60,3,1,4,2,3,3,2,3,5,0.4167,NA,Trump
1,0,75,4,1,1,4,3,1,3,1,1,0,Slavery,Clinton
3,1,77,3,1,1,4,4,4,3,1,1,0.25,Heritage,Clinton
1.75,1,68,2,1,3,2,2,2,2,3,4,0.25,Heritage,Trump
2,1,77,3,2,1,4,4,3,4,1,1,0.3333,Slavery,Clinton
2,1,53,3,1,2,3,3,4,3,3,3,0.4167,Heritage,Did not vote
2,1,68,3,1,1,3,3,1,3,2,2,0.5,Slavery,Clinton
3,1,75,3,1,4,2,1,5,1,2,3,0.8333,Heritage,Trump
1.25,0,66,3,1,1,4,4,1,1,1,1,0.25,Slavery,Stein
3,1,59,2,1,1,2,3,2,3,1,2,0.4167,Slavery,Clinton
1.5,1,51,4,1,1,4,4,1,4,2,2,0,Slavery,Clinton
2,0,77,3,1,2,4,3,4,1,2,3,0.25,Heritage,Clinton
3.25,0,63,4,1,4,2,3,5,1,3,4,0.5833,Heritage,Trump
1.75,0,70,4,1,2,1,1,3,1,1,4,0.0833,Heritage,Clinton
3.5,1,87,2,1,4,2,2,5,3,2,4,0.5833,Heritage,Trump
2,0,79,3,1,4,1,1,5,3,2,4,0.5,Heritage,Trump
2,0,49,3,1,4,1,1,5,1,3,4,0.5,Heritage,Did not vote
3.25,0,58,4,1,4,1,1,4,2,3,4,0.6667,Heritage,Trump
3,1,49,2,1,2,NA,2,4,2,NA,5,0.6667,NA,Other
3.5,1,54,3,1,3,1,3,4,2,2,4,0.25,Heritage,Did not vote
2.25,1,61,3,1,4,2,1,5,4,3,4,0.75,Heritage,Trump
1.25,0,83,4,1,4,1,2,5,4,3,4,0.5833,Heritage,Trump
3.25,1,69,3,1,4,1,1,5,3,2,4,0.75,Heritage,Trump
1.75,0,75,2,1,1,3,3,3,3,1,4,0.0833,NA,Clinton
1,1,59,3,2,1,4,4,2,3,1,2,0.4167,Slavery,Clinton
3,0,57,3,1,4,3,3,5,4,3,3,0.75,Heritage,Trump
4.5,0,62,3,1,4,1,1,5,2,3,5,1,Heritage,Trump
2.75,0,79,3,1,4,1,1,5,3,3,4,0.8333,Heritage,Trump
1,1,72,3,1,1,4,4,1,3,1,2,0,Slavery,Clinton
1.5,0,68,4,1,1,1,4,1,3,3,5,0.5833,NA,Clinton
3,0,68,4,1,3,1,1,2,3,3,4,0.5,Heritage,Trump
1.75,1,60,4,1,3,3,2,2,2,3,5,0.25,NA,Johnson
3,0,69,4,7,4,1,2,5,3,2,4,0.5833,Heritage,Trump
1,1,55,2,1,1,2,1,1,2,2,3,0.1667,Slavery,McMullin
1.75,0,82,2,1,4,1,1,5,3,2,3,0.6667,Heritage,Trump
2.5,0,79,3,5,3,2,3,5,4,2,4,1,Heritage,Trump
2,1,53,4,1,4,1,1,5,1,3,4,0.5,Heritage,Trump
2.5,1,75,4,1,1,3,3,3,2,1,3,0.5,NA,Clinton
1,0,77,3,1,3,1,2,2,2,3,4,0.5833,Heritage,Trump
2,0,77,3,1,4,1,1,4,3,3,4,0.3333,Heritage,Trump
3.25,0,69,3,1,4,2,1,5,1,2,4,0.3333,Heritage,Trump
1.25,1,75,3,1,1,NA,4,3,3,NA,1,0.0833,Heritage,Clinton
2.25,0,74,2,1,4,1,1,4,2,NA,5,0.5,Heritage,Trump
2,0,83,4,1,1,3,3,1,3,2,3,0.3333,Slavery,Clinton
1.75,1,69,3,1,2,3,1,2,2,3,3,0.5,Heritage,Other
2,0,37,3,1,3,1,1,1,1,2,3,0.4167,NA,Johnson
3,1,53,1,1,4,2,2,2,4,3,5,0.6667,Heritage,Trump
1,0,72,3,1,1,4,4,3,3,1,3,0.1667,Slavery,Clinton
2,1,68,4,1,1,3,3,3,2,1,1,0.25,Slavery,Clinton
2.5,0,71,2,1,4,2,2,4,4,3,5,0.6667,Heritage,Trump
2.5,0,80,2,1,4,1,4,5,3,2,4,0.6667,Heritage,Trump
2.25,1,70,4,1,4,1,2,4,2,2,4,0.5833,Heritage,Trump
2.5,0,67,3,1,4,1,3,4,2,NA,4,0.6667,Heritage,Trump
3,1,72,2,1,4,1,1,5,2,2,4,0.5,Heritage,Trump
1.25,0,69,4,3,1,3,3,1,4,1,3,0.0833,Slavery,Clinton
3,0,66,3,3,1,1,NA,4,1,1,3,0.5,Heritage,Clinton
1.25,1,46,3,2,3,4,3,1,4,1,2,0.5833,Slavery,Clinton
1,1,73,2,3,4,3,3,5,4,3,3,0.1667,NA,Trump
1,1,67,3,2,1,4,4,3,4,1,3,0.5833,NA,Clinton
1.75,1,53,3,2,1,4,3,3,4,1,4,0.6667,Slavery,Clinton
2.25,1,71,6,1,3,2,2,4,2,2,4,0.4167,Heritage,Johnson
1,0,56,5,1,2,3,2,2,2,3,4,0.1667,Heritage,McMullin
2,0,59,3,1,3,1,1,4,1,3,5,0.4167,Heritage,Trump
2,0,63,5,1,1,4,4,1,3,1,1,0,Slavery,Clinton
1,1,71,4,1,1,4,3,1,2,2,1,0,NA,Stein
1.75,0,71,6,1,1,3,3,1,2,1,2,0.0833,Slavery,Clinton
1,1,37,3,1,1,4,4,1,3,1,1,0,Slavery,Clinton
1,1,73,5,1,1,4,4,1,3,1,1,0,Slavery,Clinton
1.25,1,70,6,1,2,3,2,4,4,3,4,0.8333,Heritage,Trump
1.75,0,59,6,1,3,2,2,4,1,2,5,0.5833,Slavery,Other
2,1,62,5,1,1,4,3,1,2,1,1,0,Slavery,Clinton
3.5,0,68,6,1,4,1,1,4,1,3,4,0.5833,Heritage,Trump
4,1,82,3,1,4,1,NA,5,3,2,4,0.5833,Heritage,Trump
2.75,1,61,3,1,4,1,1,4,3,3,5,0.1667,Heritage,Trump
1.75,0,66,5,1,1,3,3,4,3,2,3,0.75,NA,Clinton
1,1,72,6,1,1,3,3,2,3,1,3,0,Slavery,Clinton
1,1,71,2,1,1,3,4,1,2,1,3,0,Slavery,Clinton
1.5,0,57,2,1,1,4,4,2,2,1,1,0.25,Slavery,Clinton
1.25,1,46,5,1,3,3,NA,4,3,3,5,0.6667,Heritage,Trump
1,1,41,5,1,1,4,4,1,2,1,1,0.3333,Slavery,Clinton
2.75,0,63,6,1,1,3,3,1,1,2,2,0.3333,Slavery,Clinton
1.75,0,66,6,1,2,2,3,2,3,2,3,0.5833,Heritage,Johnson
2.25,0,71,6,1,3,1,3,3,2,3,3,0.5833,Heritage,Trump
1.25,1,70,2,1,1,4,3,1,3,1,1,0.0833,Slavery,Clinton
2,1,57,6,7,1,3,3,1,1,1,2,0,Slavery,Clinton
3.5,1,67,2,1,4,1,1,5,4,3,4,0.3333,Heritage,Trump
3,0,66,3,1,1,2,4,1,3,1,3,0.3333,Slavery,Clinton
3.75,0,72,5,1,4,1,1,5,3,3,5,1,Heritage,Trump
3.25,1,71,5,1,3,1,2,4,1,2,3,0.9167,Heritage,Stein
1.75,0,74,4,1,4,1,2,1,2,2,4,0.4167,Heritage,Trump
2,0,65,4,1,4,1,1,3,1,2,3,0.3333,Heritage,Trump
3.25,0,71,2,1,4,1,2,4,2,2,4,0.5833,Heritage,Trump
3.25,0,68,5,1,2,1,1,5,2,NA,NA,0.5,Heritage,Trump
2,1,65,6,1,3,2,3,4,1,NA,3,0.5833,Heritage,Trump
2.75,0,87,6,1,4,2,2,5,3,3,4,0.75,Heritage,Trump
1,1,76,3,2,1,4,4,1,4,1,3,0.1667,NA,Clinton
1.75,1,67,5,1,3,1,1,5,2,3,4,0.5833,Heritage,Trump
1,1,77,5,1,1,3,4,1,3,1,1,0.1667,Slavery,Clinton
1.25,0,72,3,1,1,3,3,1,4,1,1,0.0833,Slavery,Clinton
4,0,70,6,1,1,3,3,1,2,2,3,0.1667,Slavery,Johnson
2.25,1,80,2,1,3,NA,3,5,3,3,5,0.6667,Heritage,Trump
2.25,1,73,3,2,1,3,4,3,3,1,2,0.5833,Slavery,Clinton
1.75,1,29,6,1,1,4,4,1,2,1,1,0.0833,Slavery,Clinton
2,1,40,1,1,2,2,2,2,2,3,4,0.4167,Slavery,Clinton
3,0,33,2,1,1,4,4,5,4,1,1,0.6667,Slavery,Clinton
1.25,1,32,4,2,1,3,NA,1,4,1,1,0.25,Slavery,Clinton
1.75,1,65,2,1,1,2,3,3,3,2,3,0.3333,Slavery,Clinton
2,1,48,5,1,1,3,2,3,3,NA,2,0.25,Heritage,Johnson
3,0,51,4,1,4,1,1,5,NA,NA,5,0.5,Heritage,Trump
3,1,75,5,1,3,2,1,4,2,NA,4,0.6667,Heritage,Trump
2,1,67,3,1,4,1,1,3,4,2,4,0.5833,Heritage,Trump
2.5,0,53,5,1,3,1,2,3,1,2,NA,0.75,NA,Trump
1.25,1,70,6,1,1,4,4,1,1,1,1,0,Slavery,Clinton
1,1,23,3,2,1,3,2,3,4,1,3,0.5,Slavery,Clinton
1,0,64,3,1,3,1,1,5,4,3,4,0.4167,Heritage,Trump
2.75,1,89,6,1,4,1,NA,5,4,3,4,0.75,Heritage,Trump
2.75,1,60,3,1,4,1,1,5,4,3,4,1,Heritage,Trump
1.5,0,46,6,1,3,1,1,5,2,2,2,0.4167,Heritage,Trump
3.25,0,78,3,1,4,1,1,4,3,3,4,0.6667,Heritage,Trump
1.75,0,73,5,1,1,2,4,1,3,1,3,0.5,Slavery,Clinton
2.5,0,39,6,1,4,1,3,3,1,2,3,0.6667,Heritage,Did not vote
2,0,55,6,1,3,1,3,5,4,3,4,0.9167,Slavery,Trump
3,1,73,5,1,3,1,1,4,4,3,3,0.75,Heritage,Trump
1,1,63,1,1,1,2,3,1,4,2,3,0.3333,Slavery,Clinton
3.75,1,70,6,1,3,1,2,5,4,3,3,0.6667,Heritage,Trump
1,1,65,6,1,1,4,4,1,2,1,1,0,Slavery,Clinton
